mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	crescendo_hairpin	crescendo_line	decrescendo_hairpin	Ottava:8va
17	17	66	66	0.25	1/2	1/2	Chord	4/4	1	2	1/16		1/16	1	197								
17	17	265/4	265/4	0.25	9/16	9/16	Chord	4/4	1	2	1/16		1/16	1	198								
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	199								
17	17	67	67	0.25	3/4	3/4	Chord	4/4	1	2	1/16		1/16	1	200								
17	17	269/4	269/4	0.25	13/16	13/16	Chord	4/4	1	2	1/16		1/16	1	201								
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	202								
17	17	64	64	0.25	0	0	Chord	4/4	2	1	1/16		1/16	1	203								
17	17	257/4	257/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16		1/16	1	204								
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	205								
17	17	65	65	0.25	1/4	1/4	Chord	4/4	2	1	1/16		1/16	1	206								
17	17	261/4	261/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16		1/16	1	207								
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	208								
17	17	66	66	0.25	1/2	1/2	Chord	4/4	2	1	1/16		1/16	1	209								
17	17	265/4	265/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16		1/16	1	210								
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	211								
17	17	67	67	0.25	3/4	3/4	Chord	4/4	2	1	1/16		1/16	1	212								
17	17	269/4	269/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16		1/16	1	213								
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	214								
18	18	68	68	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	215								
18	18	69	69	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	216				40				
