mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	diminuendo_line
8	7	87/2	87/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	139						
8	7	38	38	6.0	0	0	Chord	12/8	2	2	3/2	1	3/2	140						
9	8	44	44	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	141		articStaccatoAbove		28		
9	8	89/2	89/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	142		articStaccatoAbove		28		
9	8	45	45	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	143		articStaccatoAbove				
9	8	91/2	91/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	144				29		
9	8	46	46	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	145						
9	8	93/2	93/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	146						
9	8	47	47	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	147		articStaccatoAbove		30		
9	8	95/2	95/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	148		articStaccatoAbove		30		
9	8	48	48	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	149		articStaccatoAbove				
9	8	97/2	97/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4	1/4	1	150						
9	8	91/2	91/2	1.0	3/8	3/8	Chord	12/8	1	2	1/4	1/4	1	151						
9	8	93/2	93/2	0.5	5/8	5/8	Chord	12/8	1	2	1/8	1/8	1	152						
9	8	47	47	0.5	3/4	3/4	Chord	12/8	1	2	1/8	1/8	1	153		articStaccatoBelow				
9	8	95/2	95/2	0.5	7/8	7/8	Chord	12/8	1	2	1/8	1/8	1	154		articStaccatoBelow				
9	8	48	48	0.5	1	1	Chord	12/8	1	2	1/8	1/8	1	155		articStaccatoBelow				
9	8	97/2	97/2	1.0	9/8	9/8	Chord	12/8	1	2	1/4	1/4	1	156						
9	8	45	45	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	157				31		
9	8	91/2	91/2	1.0	3/8	3/8	Chord	12/8	2	1	1/4	1/4	1	158				31		
9	8	93/2	93/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	159				31		
9	8	47	47	1.0	3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	160				31		
9	8	48	48	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	161				31		
9	8	97/2	97/2	1.0	9/8	9/8	Chord	12/8	2	1	1/4	1/4	1	162				31		
9	8	99/2	99/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	163						
9	8	44	44	6.0	0	0	Chord	12/8	2	2	3/2	1	3/2	164						
10	9	50	50	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	165		articStaccatoBelow		32		
10	9	101/2	101/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	166		articStaccatoBelow		32		
10	9	51	51	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	167		articStaccatoBelow				
10	9	103/2	103/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	168				33		
10	9	52	52	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	169						
10	9	105/2	105/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	170						
10	9	53	53	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	171		articStaccatoBelow		34		
10	9	107/2	107/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	172		articStaccatoBelow		34		
10	9	54	54	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	173		articStaccatoBelow				
10	9	109/2	109/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	174				35		
10	9	55	55	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	175						
10	9	111/2	111/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	176						
10	9	103/2	103/2	1.0	3/8	3/8	Chord	12/8	1	2	1/4	1/4	1	177						
10	9	105/2	105/2	0.5	5/8	5/8	Chord	12/8	1	2	1/8	1/8	1	178						
10	9	109/2	109/2	1.0	9/8	9/8	Chord	12/8	1	2	1/4	1/4	1	179						
10	9	111/2	111/2	0.5	11/8	11/8	Chord	12/8	1	2	1/8	1/8	1	180						
10	9	51	51	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	181				36		
10	9	103/2	103/2	1.0	3/8	3/8	Chord	12/8	2	1	1/4	1/4	1	182				36		
10	9	105/2	105/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	183				36		
10	9	53	53	1.0	3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	184				36		
10	9	54	54	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	185				36		
10	9	109/2	109/2	1.0	9/8	9/8	Chord	12/8	2	1	1/4	1/4	1	186				36		
10	9	111/2	111/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8	1/8	1	187						
10	9	50	50	6.0	0	0	Chord	12/8	2	2	3/2	1	3/2	188						
11	10	56	56	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	189		articStaccatoBelow		37		
11	10	113/2	113/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	190		articStaccatoBelow		37		
11	10	57	57	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	191		articStaccatoBelow				
11	10	115/2	115/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	192				38		
11	10	58	58	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	193						
11	10	117/2	117/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	194						
11	10	59	59	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	195		articStaccatoBelow		39		
11	10	119/2	119/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	196		articStaccatoBelow		39		
11	10	60	60	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	197		articStaccatoBelow				
11	10	121/2	121/2	1.0	9/8	9/8	Chord	12/8	1	1	1/4	1/4	1	198						
11	10	115/2	115/2	1.0	3/8	3/8	Chord	12/8	1	2	1/4	1/4	1	199						
11	10	117/2	117/2	0.5	5/8	5/8	Chord	12/8	1	2	1/8	1/8	1	200						
11	10	57	57	0.5	1/4	1/4	Chord	12/8	2	1	1/8	1/8	1	201				40		
11	10	115/2	115/2	1.0	3/8	3/8	Chord	12/8	2	1	1/4	1/4	1	202				40		
11	10	117/2	117/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8	1/8	1	203				40		
11	10	59	59	1.0	3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	204				40		
11	10	60	60	0.5	1	1	Chord	12/8	2	1	1/8	1/8	1	205				40		
11	10	121/2	121/2	1.0	9/8	9/8	Chord	12/8	2	1	1/4	1/4	1	206						
11	10	56	56	6.0	0	0	Chord	12/8	2	2	3/2	1	3/2	207						
12	11	62	62	0.0	0	0	StaffText	6/8	1	1	0						"<font size=""12""/>un poco marcato"			
12	11	62	62	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	208		articAccentAbove				
12	11	127/2	127/2	0.375	3/8	3/8	Chord	6/8	1	1	3/32	1/8	3/4	209				41		
12	11	511/8	511/8	0.375	15/32	15/32	Chord	6/8	1	1	3/32	1/8	3/4	210				41		
12	11	257/4	257/4	0.375	9/16	9/16	Chord	6/8	1	1	3/32	1/8	3/4	211				41		
12	11	517/8	517/8	0.375	21/32	21/32	Chord	6/8	1	1	3/32	1/8	3/4	212						
12	11	62	62	0.5	0	0	Chord	6/8	1	2	1/8	1/8	1	213				42		
12	11	125/2	125/2	0.25	1/8	1/8	Chord	6/8	1	2	1/16	1/16	1	214				42		
12	11	251/4	251/4	0.25	3/16	3/16	Chord	6/8	1	2	1/16	1/16	1	215				42		
12	11	63	63	0.25	1/4	1/4	Chord	6/8	1	2	1/16	1/16	1	216				42		
12	11	253/4	253/4	0.25	5/16	5/16	Chord	6/8	1	2	1/16	1/16	1	217						
12	11	127/2	127/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8	1/4	3/2	218						
12	11	125/2	125/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	219						
12	11	63	63	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	220						
12	11	127/2	127/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	221		articAccentAbove				
13	12	65	65	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	222		articAccentAbove				
13	12	133/2	133/2	0.375	3/8	3/8	Chord	6/8	1	1	3/32	1/8	3/4	223				43		
13	12	535/8	535/8	0.375	15/32	15/32	Chord	6/8	1	1	3/32	1/8	3/4	224				43		
13	12	269/4	269/4	0.375	9/16	9/16	Chord	6/8	1	1	3/32	1/8	3/4	225				43		
13	12	541/8	541/8	0.375	21/32	21/32	Chord	6/8	1	1	3/32	1/8	3/4	226						
13	12	65	65	0.5	0	0	Chord	6/8	1	2	1/8	1/8	1	227				44		
13	12	131/2	131/2	0.25	1/8	1/8	Chord	6/8	1	2	1/16	1/16	1	228				44		
13	12	263/4	263/4	0.25	3/16	3/16	Chord	6/8	1	2	1/16	1/16	1	229				44		
13	12	66	66	0.25	1/4	1/4	Chord	6/8	1	2	1/16	1/16	1	230				44		
13	12	265/4	265/4	0.25	5/16	5/16	Chord	6/8	1	2	1/16	1/16	1	231						
13	12	133/2	133/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8	1/4	3/2	232						
13	12	131/2	131/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	233						
13	12	66	66	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	234						
13	12	133/2	133/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	235		articAccentAbove				
14	13	68	68	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	236		articAccentAbove				
14	13	139/2	139/2	0.375	3/8	3/8	Chord	6/8	1	1	3/32	1/8	3/4	237				45		
14	13	559/8	559/8	0.375	15/32	15/32	Chord	6/8	1	1	3/32	1/8	3/4	238				45		
14	13	281/4	281/4	0.375	9/16	9/16	Chord	6/8	1	1	3/32	1/8	3/4	239				45		
14	13	565/8	565/8	0.375	21/32	21/32	Chord	6/8	1	1	3/32	1/8	3/4	240						
14	13	68	68	0.5	0	0	Chord	6/8	1	2	1/8	1/8	1	241				46		
14	13	137/2	137/2	0.25	1/8	1/8	Chord	6/8	1	2	1/16	1/16	1	242				46		
14	13	275/4	275/4	0.25	3/16	3/16	Chord	6/8	1	2	1/16	1/16	1	243				46		
14	13	69	69	0.25	1/4	1/4	Chord	6/8	1	2	1/16	1/16	1	244				46		
14	13	277/4	277/4	0.25	5/16	5/16	Chord	6/8	1	2	1/16	1/16	1	245						
14	13	139/2	139/2	1.5	3/8	3/8	Chord	6/8	1	2	3/8	1/4	3/2	246						
14	13	137/2	137/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	247						
14	13	69	69	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	248						
14	13	139/2	139/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	249		articAccentAbove				
15	14	71	71	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	250		articAccentAbove				
15	14	145/2	145/2	0.375	3/8	3/8	Chord	6/8	1	1	3/32	1/8	3/4	251				47		
15	14	583/8	583/8	0.375	15/32	15/32	Chord	6/8	1	1	3/32	1/8	3/4	252				47		
15	14	293/4	293/4	0.375	9/16	9/16	Chord	6/8	1	1	3/32	1/8	3/4	253				47		
15	14	589/8	589/8	0.375	21/32	21/32	Chord	6/8	1	1	3/32	1/8	3/4	254						
15	14	71	71	0.5	0	0	Chord	6/8	1	2	1/8	1/8	1	255				48		
