mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
75	75	437	1.0	5/4	5/4	6/4	2	1	Ger6{	Db	I		Ger6	Ger	vii	o	65	b3	V		{	Ger	0	0	-4, 0, -3, 6		6	-4
76	76	438	5.0	0	0	6/4	2	1	V(64)	Db	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
76	76	443	1.0	5/4	5/4	6/4	2	1	V(97b64)	Db	I		V(97b64)		V			97b64				M	0	0	1, 0, -3	3, -1	1	1
77	77	444	6.0	0	0	6/4	2	1	V7(4)	Db	I		V7(4)		V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
78	78	450	6.0	0	0	6/4	2	1	#viio43/vii	Db	I		#viio43/vii		#vii	o	43		vii			o7	0	0	4, 1, 10, 7		10	4
79	79	456	3.0	0	0	6/4	2	1	V2(9)	Db	I		V2(9)		V		2	9				Mm7	0	0	-1, 1, 5, 2	3	1	-1
79	79	459	3.0	3/4	3/4	6/4	2	1	V2	Db	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
80	80	462	6.0	0	0	6/4	2	1	#viio43/vii	Db	I		#viio43/vii		#vii	o	43		vii			o7	0	0	4, 1, 10, 7		10	4
81	81	468	3.0	0	0	6/4	2	1	V2(9)	Db	I		V2(9)		V		2	9				Mm7	0	0	-1, 1, 5, 2	3	1	-1
81	81	471	3.0	3/4	3/4	6/4	2	1	V2	Db	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
82	82	474	3.0	0	0	6/4	2	1	#viio43/vii	Db	I		#viio43/vii		#vii	o	43		vii			o7	0	0	4, 1, 10, 7		10	4
82	82	477	3.0	3/4	3/4	6/4	2	1	V7(6)/bVI	Db	I		V7(6)/bVI		V		7	6	bVI			Mm7	0	0	-3, 1, 0, -5		-3	-3
83	83	480	2.0	0	0	6/4	2	1	I(9)/bVI	Db	I		I(9)/bVI		I			9	bVI			M	0	0	-4, 0, -3	-2	-4	-4
83	83	482	13.0	1/2	1/2	6/4	2	1	I/bVI|IAC}	Db	I		I/bVI		I				bVI	IAC	}	M	0	0	-4, 0, -3		-4	-4
85	85	495	3.0	3/4	3/4	6/4	2	1	Ger6{	Db	I		Ger6	Ger	vii	o	65	b3	V		{	Ger	0	0	-4, 0, -3, 6		6	-4
86	86	498	9.0	0	0	6/4	2	1	V(64)	Db	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
87	87	507	3.0	3/4	3/4	6/4	2	1	viio7/V	Db	I		viio7/V		vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
88	88	510	6.0	0	0	6/4	2	1	V(64)	Db	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
89	89	516	2.0	0	0	15/4	2	1	V7(9)	Db	I		V7(9)		V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
89	89	518	13.0	1/2	1/2	15/4	2	1	V7|HC}	Db	I		V7		V		7			HC	}	Mm7	0	0	1, 5, 2, -1		1	1
90	90	531	3.0	0	0	6/4	2	1	I64{	Db	I		I64		I		64				{	M	0	0	1, 0, 4		0	1
90	90	534	2.0	3/4	3/4	6/4	2	1	I	Db	I		I		I							M	0	0	0, 4, 1		0	0
90	90	536	1.0	5/4	5/4	6/4	2	1	V2/IV	Db	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
91	91	537	2.0	0	0	6/4	2	1	IV6(2)	Db	I		IV6(2)		IV		6	2				M	0	0	3, 0, 1		-1	3
91	91	539	1.0	1/2	1/2	6/4	2	1	IV6	Db	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
91	91	540	3.0	3/4	3/4	6/4	2	1	V7	Db	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
92	92	543	3.0	0	0	6/4	2	1	I	Db	I		I		I							M	0	0	0, 4, 1		0	0
92	92	546	3.0	3/4	3/4	6/4	2	1	vi	Db	I		vi		vi							m	0	0	3, 0, 4		3	3
93	93	549	2.0	0	0	6/4	2	1	ii6(2)	Db	I		ii6(2)		ii		6	2				m	0	0	-1, 3, 4		2	-1
93	93	551	4.0	1/2	1/2	6/4	2	1	ii6	Db	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
94	94	555	2.0	0	0	4/4	2	1	III	Db	I		III		III							M	0	0	4, 8, 5		4	4
94	94	557	1.0	1/2	1/2	4/4	2	1	V(4)	Db	I		V(4)		V			4				M	0	0	1, 0, 2		1	1
94	94	558	1.0	3/4	3/4	4/4	2	1	V7	Db	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
95	95	559	4.0	0	0	4/4	2	1	I|PAC}	Db	I		I		I					PAC	}	M	0	0	0, 4, 1		0	0
